old_name,new_name,relative_path,interpolated_date,note
C 05 Khai Thi Hoa Ky.mp3,C 05 Khai Thi Hoa Ky (~19950717).mp3,Khai Thi Hoa Ky 01/C 05 Khai Thi Hoa Ky (~19950717).mp3,19950717,interpolated
C 06 Khai Thi Hoa Ky.mp3,C 06 Khai Thi Hoa Ky (~19950726).mp3,Khai Thi Hoa Ky 01/C 06 Khai Thi Hoa Ky (~19950726).mp3,19950726,interpolated
C 07 Khai Thi Hoa Ky.mp3,C 07 Khai Thi Hoa Ky (~19950804).mp3,Khai Thi Hoa Ky 01/C 07 Khai Thi Hoa Ky (~19950804).mp3,19950804,interpolated
C 18 Khai Thi Hoa Ky.mp3,C 18 Khai Thi Hoa Ky (~19960404).mp3,Khai Thi Hoa Ky 01/C 18 Khai Thi Hoa Ky (~19960404).mp3,19960404,interpolated
C 19 Khai Thi Hoa Ky.mp3,C 19 Khai Thi Hoa Ky (~19960409).mp3,Khai Thi Hoa Ky 01/C 19 Khai Thi Hoa Ky (~19960409).mp3,19960409,interpolated
C 29 Khai Thi Hoa Ky.mp3,C 29 Khai Thi Hoa Ky (~19970205).mp3,Khai Thi Hoa Ky 02/C 29 Khai Thi Hoa Ky (~19970205).mp3,19970205,interpolated
C 36 Khai Thi Hoa Ky.mp3,C 36 Khai Thi Hoa Ky (~19970312).mp3,Khai Thi Hoa Ky 02/C 36 Khai Thi Hoa Ky (~19970312).mp3,19970312,interpolated
C 39 Khai Thi Hoa Ky.mp3,C 39 Khai Thi Hoa Ky (~19970323).mp3,Khai Thi Hoa Ky 02/C 39 Khai Thi Hoa Ky (~19970323).mp3,19970323,interpolated
C 40 Khai Thi Hoa Ky.mp3,C 40 Khai Thi Hoa Ky (~19970330).mp3,Khai Thi Hoa Ky 02/C 40 Khai Thi Hoa Ky (~19970330).mp3,19970330,interpolated
D 14 Khai Thi Hoa Ky.mp3,D 14 Khai Thi Hoa Ky (~19971221).mp3,Khai Thi Hoa Ky 02/D 14 Khai Thi Hoa Ky (~19971221).mp3,19971221,interpolated
D 15 Khai Thi Hoa Ky (199712_199801).mp3 (or similar),D 15 Khai Thi Hoa Ky (19971201_19980104).mp3,Khai Thi Hoa Ky 02/D 15 Khai Thi Hoa Ky (19971201_19980104).mp3,19971201_19980104,normalized_month_range
D 16 Khai Thi Hoa Ky.mp3,D 16 Khai Thi Hoa Ky (~19980108).mp3,Khai Thi Hoa Ky 02/D 16 Khai Thi Hoa Ky (~19980108).mp3,19980108,interpolated
D 17 Khai Thi Hoa Ky.mp3,D 17 Khai Thi Hoa Ky (~19980113).mp3,Khai Thi Hoa Ky 02/D 17 Khai Thi Hoa Ky (~19980113).mp3,19980113,interpolated
